rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166851143,3.0,3.0,5.0,4.0,3.0,4.0,35.0,3.0,2.0,7.0,7.0,3.0,0.0,1.0,18.0,Female
166851682,1.0,1.0,2.0,1.0,3.0,5.0,40.0,3.0,2.0,2.0,7.0,3.0,0.0,1.0,8.0,Female
166851693,2.0,1.0,2.0,2.0,2.0,8.0,68.0,4.0,2.0,5.0,7.0,5.0,0.0,1.0,9.0,Female
166852196,2.0,4.0,4.0,2.0,4.0,3.0,10.0,3.0,2.0,6.0,7.0,1.0,0.0,1.0,16.0,Female
166853130,2.0,4.0,4.0,4.0,4.0,4.0,24.0,3.0,3.0,6.0,6.0,4.0,0.0,1.0,18.0,Female
166853709,2.0,3.0,3.0,3.0,2.0,3.0,15.0,3.0,3.0,6.0,6.0,4.0,0.0,1.0,13.0,Female
166853909,4.0,5.0,5.0,5.0,3.0,7.0,50.0,4.0,2.0,6.0,5.0,3.0,1.0,0.0,22.0,Male
166853964,3.0,4.0,2.0,4.0,4.0,9.0,75.0,4.0,1.0,4.0,6.0,2.0,0.0,1.0,17.0,Female
166854131,2.0,2.0,4.0,3.0,3.0,5.0,13.0,3.0,3.0,4.0,6.0,4.0,0.0,1.0,14.0,Female
166854195,3.0,3.0,3.0,3.0,3.0,5.0,45.0,4.0,2.0,5.0,5.0,3.0,0.0,1.0,15.0,Female
166854349,2.0,3.0,4.0,2.0,4.0,2.0,20.0,4.0,2.0,4.0,7.0,6.0,1.0,0.0,15.0,Male
166854396,4.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,7.0,7.0,7.0,0.0,1.0,20.0,Female
166854449,5.0,4.0,4.0,4.0,4.0,3.0,30.0,4.0,3.0,6.0,6.0,7.0,0.0,1.0,21.0,Female
166854825,3.0,3.0,3.0,4.0,3.0,5.0,40.0,3.0,3.0,5.0,7.0,4.0,0.0,1.0,16.0,Female
166855196,2.0,4.0,4.0,4.0,2.0,3.0,13.0,3.0,2.0,5.0,5.0,4.0,0.0,1.0,16.0,Female
166855449,3.0,2.0,5.0,3.0,2.0,5.0,14.0,3.0,2.0,3.0,7.0,3.0,0.0,1.0,15.0,Female
166855797,5.0,4.0,4.0,5.0,4.0,5.0,43.0,4.0,4.0,4.0,5.0,2.0,1.0,0.0,22.0,Male
